"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.geometry.fluo.hull.pc1..px..21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..21",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.21",-0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.a.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.l.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.21",0,0,0,0,0,"Rejected"
"top.intensity.nir.mean.21",0.172783512223599,0,-1.00100150250438,1.41705050316284,0.00133422281521014,"Rejected"
"top.intensity.vis.hsv.h.red2green.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.21",0.00173277312250792,0,0,0.0277243699601268,0,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.21",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.mean.21",-0.010531348182169,0,-0.168501570914704,0,0,"Rejected"
"top.intensity.fluo.intensity.mean.21",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.a.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.v.mean.21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.b.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.l.mean.21",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.21",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.red.mean.21",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.21",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.21",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.21",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.22",0,0,0,0,0,"Rejected"
"top.geometry.fluo.border.length..px..22",0,0,0,0,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..22",0.31281296953262,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..22",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..22",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..22",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.22",1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.22",0.204291044775034,0,0,1.29662538565291,0,"Rejected"
"top.geometry.fluo.hull.length.22",-0.187687781719572,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....22",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.22",0,0,0,0,0,"Rejected"
"top.geometry.fluo.area..px.2..22",0.125125187813048,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.22",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.22",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..22",0.271227517433771,0,-1.00100150250438,1.33663577142719,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..22",0.081948086160853,0,0,1.31116937857365,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..22",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..22",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..22",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.22",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.a.mean.22",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.lab.l.mean.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.22",-1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.nir.mean.22",0.685396653580543,1.00100150250438,0,1.96743005448041,0.0100066711140761,"Rejected"
"top.intensity.vis.hsv.h.red2green.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.22",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.mean.22",0.0312279708570552,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.a.mean.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.v.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.b.mean.22",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.lab.l.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.22",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.red.mean.22",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.22",0.0625625939065239,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.23",0.069092061390554,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.border.length..px..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..23",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.23",0.159370863487355,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.23",0.341964265661536,0,0,1.41677708338093,0.00133422281521014,"Rejected"
"top.geometry.fluo.hull.length.23",-0.0885128373021257,0,-1.41620539683401,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....23",0.0940364112161818,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.23",0.0545601577221641,0,-0.128038978949757,1.00100150250438,0,"Rejected"
"top.geometry.fluo.area..px.2..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..23",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.count.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..23",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..23",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..23",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.23",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.lab.a.mean.23",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.l.mean.23",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.23",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.nir.mean.23",2.11533134766833,2.13339109680207,0,3.67328062152527,0.94996664442962,"Confirmed"
"top.intensity.vis.hsv.h.red2green.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.23",0.125125187813048,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.23",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.23",-0.036616186994307,0,-1.00100150250438,1.41614401309985,0,"Rejected"
"top.intensity.vis.lab.a.mean.23",0.201749011024845,0,0,1.23372472400859,0.00066711140760507,"Rejected"
"top.intensity.vis.hsv.v.mean.23",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.lab.b.mean.23",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.l.mean.23",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.red.mean.23",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.23",-0.125125187813048,0,-1.00100150250438,0,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.23",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.23",0.0786789698271823,0,-1.00100150250438,1.25886351723492,0,"Rejected"
"top.geometry.fluo.branchpoint.count.24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.border.length..px..24",0,0,0,0,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..24",-0.0643660637107421,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..24",0.0811878379206354,0,-1.00100150250438,1.70494459633334,0.00066711140760507,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..24",-0.00327140847896419,0,-0.052342535663427,0,0,"Rejected"
"top.geometry.fluo.hull.area..px..24",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.compactness.16.24",0.127109196550888,0,-1.00100150250438,1.41076144558759,0.00066711140760507,"Rejected"
"top.geometry.fluo.hull.circularity.24",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.length.24",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....24",0.187687781719572,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.compactness.16.24",-0.0625625939065239,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.area..px.2..24",0,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..24",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
