"trait","meanImp","medianImp","minImp","maxImp","normHits","decision"
"top.intensity.vis.hsv.h.mean.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.intensity.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.a.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.v.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.b.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.lab.l.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.blue.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.red.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.vis.rgb.green.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.h.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.v.mean.22",0,0,0,0,0,"Rejected"
"top.intensity.fluo.hsv.s.mean.22",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.branchpoint.count.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.border.length..px..23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.circumcircle.d..px..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.centroid.y..px..23",-1.38777878078145e-17,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.centroid.x..px..23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.area..px..23",0.0953334764289888,0,0,1.00100150250438,0.00066711140760507,"Rejected"
"top.geometry.fluo.hull.compactness.16.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.circularity.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.length.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.fillgrade.....23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.compactness.16.23",-0.187687781719572,0,-1.00100150250438,0,0,"Rejected"
"top.geometry.fluo.area..px.2..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.length.mean..px..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.curvature.avg.23",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.leaf.count.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.points.23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.leaf.width.mean..px..23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.minrectangle.length.b..px..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.minrectangle.length.a..px..23",0,0,0,0,0,"Rejected"
"top.geometry.fluo.hull.pc2..px..23",0.250250375626096,0,0,1.00100150250438,0,"Rejected"
"top.geometry.fluo.hull.pc1..px..23",0,0,0,0,0,"Rejected"
"top.geometry.vis.leaftip.count..leaftips..23",0,0,0,0,0,"Rejected"
"top.intensity.fluo.lab.b.mean.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.a.mean.23",0.187687781719572,0,0,1.00100150250438,0,"Rejected"
"top.intensity.fluo.lab.l.mean.23",0.125125187813048,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.brown2green.23",0,0,0,0,0,"Rejected"
"top.intensity.nir.mean.23",0.611682250328063,1.00100150250438,0,1.95560632412572,0.0173448965977318,"Rejected"
"top.intensity.vis.hsv.h.red2green.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.s.mean.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.hsv.h.yellow2green.23",0,0,0,0,0,"Rejected"
"top.intensity.vis.hsv.h.mean.23",0,0,0,0,0,"Rejected"
"top.intensity.fluo.intensity.mean.23",0.375375563439144,0,0,1.00100150250438,0,"Rejected"
"top.intensity.vis.lab.a.mean.23",0.0625625939065239,0,0,1.00100150250438,0,"Rejected"
